OG,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome,Total
OG0010040,1,1,1,1,1,5
OG0010043,1,1,1,1,1,5
OG0010044,1,1,1,1,1,5
OG0010045,1,1,1,1,1,5
OG0010046,1,1,1,1,1,5
OG0010047,1,1,1,1,1,5
OG0010049,1,1,1,1,1,5
OG0010050,1,1,1,1,1,5
OG0010051,1,1,1,1,1,5
OG0010052,1,1,1,1,1,5
OG0010053,1,1,1,1,1,5
OG0010054,1,1,1,1,1,5
OG0010055,1,1,1,1,1,5
OG0010056,1,1,1,1,1,5
OG0010057,1,1,1,1,1,5
OG0010058,1,1,1,1,1,5
OG0010059,1,1,1,1,1,5
OG0010060,1,1,1,1,1,5
OG0010061,1,1,1,1,1,5
OG0010062,1,1,1,1,1,5
OG0010063,1,1,1,1,1,5
OG0010066,1,1,1,1,1,5
OG0010067,1,1,1,1,1,5
OG0010071,1,1,1,1,1,5
OG0010072,1,1,1,1,1,5
OG0010075,1,1,1,1,1,5
OG0010078,1,1,1,1,1,5
OG0010079,1,1,1,1,1,5
OG0010080,1,1,1,1,1,5
OG0010081,1,1,1,1,1,5
OG0010082,1,1,1,1,1,5
OG0010083,1,1,1,1,1,5
OG0010085,1,1,1,1,1,5
OG0010086,1,1,1,1,1,5
OG0010089,1,1,1,1,1,5
OG0010090,1,1,1,1,1,5
OG0010092,1,1,1,1,1,5
OG0010094,1,1,1,1,1,5
OG0010096,1,1,1,1,1,5
OG0010097,1,1,1,1,1,5
OG0010099,1,1,1,1,1,5
OG0010100,1,1,1,1,1,5
OG0010101,1,1,1,1,1,5
OG0010102,1,1,1,1,1,5
OG0010103,1,1,1,1,1,5
OG0010104,1,1,1,1,1,5
OG0010105,1,1,1,1,1,5
OG0010106,1,1,1,1,1,5
OG0010108,1,1,1,1,1,5
OG0010109,1,1,1,1,1,5
OG0010110,1,1,1,1,1,5
OG0010111,1,1,1,1,1,5
OG0010112,1,1,1,1,1,5
OG0010114,1,1,1,1,1,5
OG0010115,1,1,1,1,1,5
OG0010117,1,1,1,1,1,5
OG0010118,1,1,1,1,1,5
OG0010119,1,1,1,1,1,5
OG0010120,1,1,1,1,1,5
OG0010121,1,1,1,1,1,5
OG0010124,1,1,1,1,1,5
OG0010125,1,1,1,1,1,5
OG0010127,1,1,1,1,1,5
OG0010128,1,1,1,1,1,5
OG0010129,1,1,1,1,1,5
OG0010131,1,1,1,1,1,5
OG0010132,1,1,1,1,1,5
OG0010133,1,1,1,1,1,5
OG0010134,1,1,1,1,1,5
OG0010135,1,1,1,1,1,5
OG0010137,1,1,1,1,1,5
OG0010138,1,1,1,1,1,5
OG0010139,1,1,1,1,1,5
OG0010140,1,1,1,1,1,5
OG0010142,1,1,1,1,1,5
OG0010146,1,1,1,1,1,5
OG0010147,1,1,1,1,1,5
OG0010148,1,1,1,1,1,5
OG0010151,1,1,1,1,1,5
OG0010152,1,1,1,1,1,5
OG0010153,1,1,1,1,1,5
OG0010155,1,1,1,1,1,5
OG0010156,1,1,1,1,1,5
OG0010159,1,1,1,1,1,5
OG0010160,1,1,1,1,1,5
OG0010161,1,1,1,1,1,5
OG0010162,1,1,1,1,1,5
OG0010163,1,1,1,1,1,5
OG0010164,1,1,1,1,1,5
OG0010165,1,1,1,1,1,5
OG0010169,1,1,1,1,1,5
OG0010172,1,1,1,1,1,5
OG0010174,1,1,1,1,1,5
OG0010175,1,1,1,1,1,5
OG0010176,1,1,1,1,1,5
OG0010177,1,1,1,1,1,5
OG0010178,1,1,1,1,1,5
OG0010179,1,1,1,1,1,5
OG0010181,1,1,1,1,1,5
OG0010183,1,1,1,1,1,5
OG0010184,1,1,1,1,1,5
OG0010186,1,1,1,1,1,5
OG0010187,1,1,1,1,1,5
OG0010188,1,1,1,1,1,5
OG0010189,1,1,1,1,1,5
OG0010190,1,1,1,1,1,5
OG0010192,1,1,1,1,1,5
OG0010193,1,1,1,1,1,5
OG0010195,1,1,1,1,1,5
OG0010196,1,1,1,1,1,5
OG0010197,1,1,1,1,1,5
OG0010198,1,1,1,1,1,5
OG0010199,1,1,1,1,1,5
OG0010201,1,1,1,1,1,5
OG0010202,1,1,1,1,1,5
OG0010203,1,1,1,1,1,5
OG0010204,1,1,1,1,1,5
OG0010205,1,1,1,1,1,5
OG0010208,1,1,1,1,1,5
OG0010209,1,1,1,1,1,5
